PLAYERS,NATIONALITY,TYPE,PRICE PAID,TEAM
Avanish Rao Aravelly,Indian,Wicket-Keeper,2000000,CSK
Mustafizur Rahman,Overseas,Bowler,200000,CSK
Daryl Mitchell,Overseas,All-Rounder,1400000,CSK
Sameer Rizvi,Indian,Batter,840000,CSK
Rachin Ravindra,Overseas,All-Rounder,180000,CSK
Shardul Thakur,Indian,All-Rounder,400000,CSK
Ricky Bhui,Indian,Wicket-Keeper,20000,DC
Sumit Kumar,Indian,All-Rounder,100000,DC
Swastik Chhikara,Indian,Batter,20000,DC
Jhye Richardson,Overseas,Bowler,500000,DC
Shai Hope,Overseas,Wicket-Keeper,75000,DC
Rasikh Dar,Indian,Bowler,20000,DC
Kumar Kushagra,Indian,Wicket-Keeper,720000,DC
Tristan Stubbs,Overseas,Wicket-Keeper,50000,DC
Harry Brook,Overseas,Batter,400000,DC
Kartik Tyagi,Indian,Bowler,60000,GT
Spencer Johnson,Overseas,Bowler,1000000,GT
Manav Suthar,Indian,Bowler,20000,GT
Robin Minz,Indian,Wicket-Keeper,360000,GT
Sushant Mishra,Indian,Bowler,220000,GT
Azmatullah Omarzai,Overseas,All-Rounder,50000,GT
Shahrukh Khan,Indian,All-Rounder,740000,GT
Umesh Yadav,Indian,Bowler,580000,GT
Mujeeb Rahman,Overseas,Bowler,200000,KKR
Manish Pandey,Indian,Batter,50000,KKR
Gus Atkinson,Overseas,Bowler,100000,KKR
Angkrish Raghuvanshi,Indian,Batter,20000,KKR
Mitchell Starc,Overseas,Bowler,2475000,KKR
Sherfane Rutherford,Overseas,Batter,150000,KKR
Ramandeep Singh,Indian,All-Rounder,20000,KKR
K.S. Bharat,Indian,Wicket-Keeper,50000,KKR
Chetan Sakariya,Indian,Bowler,50000,KKR
Sakib Hussain,Indian,Bowler,20000,KKR
Ashton Turner,Overseas,Batter,100000,LSG
David Willey,Overseas,All-Rounder,200000,LSG
M. Siddharth,Indian,Bowler,240000,LSG
Shivam Mavi,Indian,Bowler,640000,LSG
Arshin Kulkarni,Indian,All-Rounder,20000,LSG
Mohd. Arshad Khan,Indian,All-Rounder,20000,LSG
Dilshan Madushanka,Overseas,Bowler,460000,MI
Shreyas Gopal,Indian,Bowler,20000,MI
Shivalik Sharma,Indian,All-Rounder,20000,MI
Anshul Kamboj,Indian,All-Rounder,20000,MI
Mohammad Nabi,Overseas,All-Rounder,150000,MI
Naman Dhir,Indian,All-Rounder,20000,MI
Nuwan Thushara,Overseas,Bowler,480000,MI
Gerald Coetzee,Overseas,All-Rounder,500000,MI
Chris Woakes,Overseas,All-Rounder,420000,PK
Tanay Thyagarajann,Indian,All-Rounder,20000,PK
Vishwanath Pratap Singh,Indian,All-Rounder,20000,PK
Ashutosh Sharma,Indian,All-Rounder,20000,PK
Shashank Singh,Indian,Batter,20000,PK
Rilee Rossouw,Overseas,Batter,800000,PK
Prince Choudhary,Indian,Bowler,20000,PK
Harshal Patel,Indian,All-Rounder,1175000,PK
Shubham Dubey,Indian,Batter,580000,RR
Rovman Powell,Overseas,Batter,740000,RR
Abid Mushtaq,Indian,All-Rounder,20000,RR
Nandre Burger,Overseas,Bowler,50000,RR
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,40000,RR
Lockie Ferguson,Overseas,Bowler,200000,RCB
Tom Curran,Overseas,All-Rounder,150000,RCB
Saurav Chuahan,Indian,Batter,20000,RCB
Alzarri Joseph,Overseas,Bowler,1150000,RCB
Swapnil Singh,Indian,All-Rounder,20000,RCB
Yash Dayal,Indian,Bowler,500000,RCB
Jhathavedh Subramanyan,Indian,Bowler,20000,SH
Akash Singh,Indian,Bowler,20000,SH
Jaydev Unadkat,Indian,Bowler,160000,SH
Wanindu Hasaranga,Overseas,All-Rounder,150000,SH
Pat Cummins,Overseas,All-Rounder,2050000,SH
Travis Head,Overseas,Batter,680000,SH
