PLAYER,NATIONALITY,TYPE,BASE PRICE
Priyansh Arya,Indian,Batter,"2,000,000"
Rohan Kunnummal,Indian,Batter,"2,000,000"
Manan Vohra,Indian,Batter,"2,000,000"
Raj Angad Bawa,Indian,All-Rounder,"2,000,000"
Sarfaraz Khan,Indian,All-Rounder,"2,000,000"
Vivrant Sharma,Indian,All-Rounder,"2,000,000"
Atit Sheth,Indian,All-Rounder,"2,000,000"
Hrithik Shokeen,Indian,All-Rounder,"2,000,000"
Urvil Patel,Indian,Wicket-Keeper,"2,000,000"
Vishnu Solanki,Indian,Wicket-Keeper,"2,000,000"
Ishan Porel,Indian,Bowler,"2,000,000"
Kuldip Yadav,Indian,Bowler,"2,000,000"
Murgan Ashwin,Indian,Bowler,"2,000,000"
Pulkit Narang,Indian,Bowler,"2,000,000"
Shiva Singh,Indian,Bowler,"2,000,000"
Dinesh Bana,Indian,Batter,"2,000,000"
Rajat Dey,Indian,Batter,"2,000,000"
Abhimanyu Easwaran,Indian,Batter,"2,000,000"
Rithik Easwaran,Indian,Batter,"2,000,000"
Chirag Gandhi,Indian,Batter,"2,000,000"
Nikhil Gangta,Indian,Batter,"2,000,000"
Sudip Gharami,Indian,Batter,"2,000,000"
Ansh Gosai,Indian,Batter,"2,000,000"
Azim Kazi,Indian,Batter,"2,000,000"
Amandeep Khare,Indian,Batter,"2,000,000"
Ankit Kumar,Indian,Batter,"2,000,000"
Bhupen Lalwani,Indian,Batter,"2,000,000"
Pukhraj Mann,Indian,Batter,"2,000,000"
Tanmay Mishra,Indian,Batter,"2,000,000"
Salman Nizar,Indian,Batter,"2,000,000"
Priyank Panchal,Indian,Batter,"2,000,000"
Akshat Raghuwanshi,Indian,Batter,"2,000,000"
Ekant Sen,Indian,Batter,"2,000,000"
Subhranshu Senapati,Indian,Batter,"2,000,000"
Naushad Shaikh,Indian,Batter,"2,000,000"
Dhruv Shorey,Indian,Batter,"2,000,000"
Himmat Singh,Indian,Batter,"2,000,000"
Virat Singh,Indian,Batter,"2,000,000"
Sumeet Verma,Indian,Batter,"2,000,000"
P.A. Abdul,Indian,All-Rounder,"2,000,000"
Murugan Abhishek,Indian,All-Rounder,"2,000,000"
Atharva Ankolekar,Indian,All-Rounder,"2,000,000"
Baba Aparajith,Indian,All-Rounder,"2,000,000"
Jass Inder Baidwan,Indian,All-Rounder,"2,000,000"
Rahul Buddhi,Indian,All-Rounder,"2,000,000"
Vaisakh Chandran,Indian,All-Rounder,"2,000,000"
Writtick Chatterjee,Indian,All-Rounder,"2,000,000"
Raj Chaudhary,Indian,All-Rounder,"2,000,000"
Ravi Chauhan,Indian,All-Rounder,"2,000,000"
Ashwin Das,Indian,All-Rounder,"2,000,000"
Aarya Desai,Indian,All-Rounder,"2,000,000"
Vineet Dhankhar,Indian,All-Rounder,"2,000,000"
Harsh Dubey,Indian,All-Rounder,"2,000,000"
Prerit Dutta,Indian,All-Rounder,"2,000,000"
Shubhang Hegde,Indian,All-Rounder,"2,000,000"
Saransh Jain,Indian,All-Rounder,"2,000,000"
Mohammad Kaif,Indian,All-Rounder,"2,000,000"
Aman Khan,Indian,All-Rounder,"2,000,000"
Mohd Arslan Khan,Indian,All-Rounder,"2,000,000"
Musheer Khan,Indian,All-Rounder,"2,000,000"
Tanush Kotian,Indian,All-Rounder,"2,000,000"
Manvanth Kumar,Indian,All-Rounder,"2,000,000"
Saurabh Kumar,Indian,All-Rounder,"2,000,000"
Dev Lakra,Indian,All-Rounder,"2,000,000"
Nasir Lone,Indian,All-Rounder,"2,000,000"
Kaushik Maity,Indian,All-Rounder,"2,000,000"
Divij Mehra,Indian,All-Rounder,"2,000,000"
Mani Sankar Mura Singh,Indian,All-Rounder,"2,000,000"
Sanjay Pahal,Indian,All-Rounder,"2,000,000"
Jitender Pal,Indian,All-Rounder,"2,000,000"
Saumy Pandey,Indian,All-Rounder,"2,000,000"
Ansh Patel,Indian,All-Rounder,"2,000,000"
Sairaj Patil,Indian,All-Rounder,"2,000,000"
Pradosh Paul,Indian,All-Rounder,"2,000,000"
Shubham Singh Pundir,Indian,All-Rounder,"2,000,000"
Atal Rai,Indian,All-Rounder,"2,000,000"
Abhimanyusingh Rajput,Indian,All-Rounder,"2,000,000"
Mohit Rathee,Indian,All-Rounder,"2,000,000"
Ninad Rathva,Indian,All-Rounder,"2,000,000"
Rohit Rayudu,Indian,All-Rounder,"2,000,000"
Aniketh Reddy,Indian,All-Rounder,"2,000,000"
Mohit Redkar,Indian,All-Rounder,"2,000,000"
Akash Sengupta,Indian,All-Rounder,"2,000,000"
Suryansh Shedge,Indian,All-Rounder,"2,000,000"
Aradhya Shukla,Indian,All-Rounder,"2,000,000"
Utkarsh Singh,Indian,All-Rounder,"2,000,000"
Shashank Singh,Indian,All-Rounder,"2,000,000"
Ravi Teja,Indian,All-Rounder,"2,000,000"
Akash Vashisht,Indian,All-Rounder,"2,000,000"
Mohit Ahlawat,Indian,Wicket-Keeper,"2,000,000"
G. Ajitesh,Indian,Wicket-Keeper,"2,000,000"
L.R. Chethan,Indian,Wicket-Keeper,"2,000,000"
Gourav Choudhary,Indian,Wicket-Keeper,"2,000,000"
Harvik Desai,Indian,Wicket-Keeper,"2,000,000"
Shakir Gandhi,Indian,Wicket-Keeper,"2,000,000"
Sumit Ghadigaonkar,Indian,Wicket-Keeper,"2,000,000"
Baba Indrajith,Indian,Wicket-Keeper,"2,000,000"
Bhagmender Lather,Indian,Wicket-Keeper,"2,000,000"
Anmol Malhotra,Indian,Wicket-Keeper,"2,000,000"
Darshan Misal,Indian,Wicket-Keeper,"2,000,000"
Nikhil Naik,Indian,Wicket-Keeper,"2,000,000"
Prasad Pawar,Indian,Wicket-Keeper,"2,000,000"
Mahesh Pithiya,Indian,Wicket-Keeper,"2,000,000"
Bipin Saurabh,Indian,Wicket-Keeper,"2,000,000"
B.R. Sharath,Indian,Wicket-Keeper,"2,000,000"
K.L. Shrijith,Indian,Wicket-Keeper,"2,000,000"
Avneesh Sudha,Indian,Wicket-Keeper,"2,000,000"
Aditya Tare,Indian,Wicket-Keeper,"2,000,000"
Nihal Ullal,Indian,Wicket-Keeper,"2,000,000"
K.M Asif,Indian,Bowler,"2,000,000"
Mohit Avasthi,Indian,Bowler,"2,000,000"
Basit Bashir,Indian,Bowler,"2,000,000"
Waseem Bashir,Indian,Bowler,"2,000,000"
Sachin Bhosale,Indian,Bowler,"2,000,000"
Devendra Singh Bora,Indian,Bowler,"2,000,000"
Gurnoor Singh Brar,Indian,Bowler,"2,000,000"
Saurabh Dubey,Indian,Bowler,"2,000,000"
Mrinmoy Dutta,Indian,Bowler,"2,000,000"
Vishal Godara,Indian,Bowler,"2,000,000"
Money Grewal,Indian,Bowler,"2,000,000"
Arpit Guleria,Indian,Bowler,"2,000,000"
Mukhtar Hussain,Indian,Bowler,"2,000,000"
Mohammed Kaif,Indian,Bowler,"2,000,000"
Shubham Kapse,Indian,Bowler,"2,000,000"
Devang Karamta,Indian,Bowler,"2,000,000"
Kulwant Khejroliya,Indian,Bowler,"2,000,000"
Ravi Kumar,Indian,Bowler,"2,000,000"
Ashwani Kumar,Indian,Bowler,"2,000,000"
Raj Limbani,Indian,Bowler,"2,000,000"
Lukman Hussain Meriwala,Indian,Bowler,"2,000,000"
Venkatesh Muralidhara,Indian,Bowler,"2,000,000"
Rakshan Readdi,Indian,Bowler,"2,000,000"
Manish Reddy,Indian,Bowler,"2,000,000"
Monish Reddy,Indian,Bowler,"2,000,000"
Akhin Sathar,Indian,Bowler,"2,000,000"
Divesh Sharma,Indian,Bowler,"2,000,000"
Ashok Sharma,Indian,Bowler,"2,000,000"
Abhilash Shetty,Indian,Bowler,"2,000,000"
Rahul Shukla,Indian,Bowler,"2,000,000"
Manit Singh,Indian,Bowler,"2,000,000"
Gurjapneet Singh,Indian,Bowler,"2,000,000"
Nitin Verma,Indian,Bowler,"2,000,000"
Gourav Yadav,Indian,Bowler,"2,000,000"
Prithvi Raj Yarra,Indian,Bowler,"2,000,000"
Mujtaba Yousuf,Indian,Bowler,"2,000,000"
Shubham Agrawal,Indian,Bowler,"2,000,000"
Mustaq Beg,Indian,Bowler,"2,000,000"
K.C Cariappa,Indian,Bowler,"2,000,000"
Ganesh Chaudhary,Indian,Bowler,"2,000,000"
Yuvraj Chudasama,Indian,Bowler,"2,000,000"
Jasmer Dhankhar,Indian,Bowler,"2,000,000"
Chintal Gandhi,Indian,Bowler,"2,000,000"
Raghav Goyal,Indian,Bowler,"2,000,000"
Shreyas Gurav,Indian,Bowler,"2,000,000"
Vishu Kashyap,Indian,Bowler,"2,000,000"
Bhuwan Rohilla,Indian,Bowler,"2,000,000"
Shivam Sharma,Indian,Bowler,"2,000,000"
Digvesh Singh,Indian,Bowler,"2,000,000"
Jagadeesha Suchith,Indian,Bowler,"2,000,000"
B. Surya,Indian,Bowler,"2,000,000"
Pankaj Yadav,Indian,Bowler,"2,000,000"
Sahil Dhiwan,Indian,All-Rounder,"2,000,000"
Kaushal Tambe,Indian,All-Rounder,"2,000,000"
Jake Fraser-Mcgurk,Overseas,All-Rounder,"2,000,000"
Duan Jansen,Overseas,All-Rounder,"2,000,000"
Prenelan Subrayen,Overseas,All-Rounder,"2,000,000"
William Salzmann,Overseas,Wicket-Keeper,"2,000,000"
Ottneil Baartman,Overseas,Bowler,"2,000,000"
Shamar Joseph,Overseas,Bowler,"2,000,000"
Kwena Maphaka,Overseas,Bowler,"2,000,000"
William O'Rourke,Overseas,Bowler,"2,000,000"
Paul Van Meekeren,Overseas,Bowler,"2,000,000"
Chris Wood,Overseas,Bowler,"2,000,000"
Allah Ghazanfar,Overseas,Bowler,"2,000,000"
Steve Smith,Overseas,Batter,"20,000,000"
Josh Inglis,Overseas,Wicket-Keeper,"20,000,000"
Josh Hazlewood,Overseas,Bowler,"20,000,000"
Adil Rashid,Overseas,Bowler,"20,000,000"
Rassie Van Der Dussen,Overseas,Batter,"20,000,000"
James Vince,Overseas,Batter,"20,000,000"
Sean Abbott,Overseas,All-Rounder,"20,000,000"
Jamie Overton,Overseas,All-Rounder,"20,000,000"
Ben Duckett,Overseas,Wicket-Keeper,"20,000,000"
Philip Salt,Overseas,Wicket-Keeper,"15,000,000"
Colin Munro,Overseas,Batter,"15,000,000"
Jason Holder,Overseas,All-Rounder,"15,000,000"
James Neesham,Overseas,All-Rounder,"15,000,000"
Daniel Sams,Overseas,All-Rounder,"15,000,000"
Chris Jordan,Overseas,Bowler,"15,000,000"
Tymal Mills,Overseas,Bowler,"15,000,000"
Tim Southee,Overseas,Bowler,"15,000,000"
Ashton Agar,Overseas,All-Rounder,"10,000,000"
Michael Bracewell,Overseas,All-Rounder,"10,000,000"
Dwaine Pretorius,Overseas,All-Rounder,"10,000,000"
Sam Billings,Overseas,Wicket-Keeper,"10,000,000"
Kyle Jamieson,Overseas,Bowler,"10,000,000"
Riley Meredith,Overseas,Bowler,"10,000,000"
Adam Milne,Overseas,Bowler,"10,000,000"
Wayne Parnell,Overseas,Bowler,"10,000,000"
David Wiese,Overseas,All-Rounder,"10,000,000"
Ish Sodhi,Overseas,Bowler,"7,500,000"
Finn Allen,Overseas,Batter,"7,500,000"
Fabian Allen,Overseas,All-Rounder,"7,500,000"
Keemo Paul,Overseas,All-Rounder,"7,500,000"
Matt Henry,Overseas,Bowler,"7,500,000"
Lance Morris,Overseas,Bowler,"7,500,000"
Ollie Robinson,Overseas,Bowler,"7,500,000"
Billy Stanlake,Overseas,Bowler,"7,500,000"
Olly Stone,Overseas,Bowler,"7,500,000"
Karun Nair,Indian,Batter,"5,000,000"
Kusal Mendis,Overseas,Wicket-Keeper,"5,000,000"
Akeal Hosein,Overseas,Bowler,"5,000,000"
Mohammad Waqar Salamkheil,Overseas,Bowler,"5,000,000"
Tabraiz Shamsi,Overseas,Bowler,"5,000,000"
Alick Athanaze,Overseas,Batter,"5,000,000"
Mark Chapman,Overseas,Batter,"5,000,000"
Samuel Hain,Overseas,Batter,"5,000,000"
Reeza Hendricks,Overseas,Batter,"5,000,000"
Brandon King,Overseas,Batter,"5,000,000"
Ibrahim Zadran,Overseas,Batter,"5,000,000"
